$Tulloch Br1 inflow Tw year 2005 YC 04/11/2023,
",,,",
Jday,Inflow Tw
47.83333333,11.88
47.875,11.73
47.91666667,11.57
47.95833333,11.42
48,10.64
48.04166667,10.95
48.08333333,10.64
48.125,10.48
48.16666667,9.54
48.20833333,10.48
48.25,10.33
48.29166667,10.17
48.33333333,10.64
48.375,12.04
48.41666667,14.53
48.45833333,15.64
48.5,17.23
48.54166667,15.96
48.58333333,16.59
48.625,15.96
48.66666667,14.69
48.70833333,13.91
48.75,12.97
48.79166667,12.82
48.83333333,12.51
48.875,12.19
48.91666667,12.04
48.95833333,11.88
49,11.57
49.04166667,12.04
49.08333333,11.88
49.125,11.73
49.16666667,11.42
49.20833333,11.11
49.25,11.11
49.29166667,11.11
49.33333333,10.95
49.375,10.01
49.41666667,10.48
49.45833333,11.26
49.5,12.66
49.54166667,13.75
49.58333333,15.64
49.625,20.16
49.66666667,15.96
49.70833333,14.22
49.75,12.66
49.79166667,11.26
49.83333333,10.48
49.875,10.01
49.91666667,9.39
49.95833333,10.79
50,11.11
50.04166667,10.33
50.08333333,9.23
50.125,9.23
50.16666667,8.31
50.20833333,9.23
50.25,8.92
50.29166667,9.39
50.33333333,10.64
50.375,12.04
50.41666667,12.82
50.45833333,16.28
50.5,18.04
50.54166667,15.01
50.58333333,12.97
50.625,11.88
50.66666667,11.88
50.70833333,10.64
50.75,10.64
50.79166667,10.01
50.83333333,9.39
50.875,9.39
50.91666667,9.7
50.95833333,9.7
51,10.17
51.04166667,10.33
51.08333333,10.33
51.125,10.33
51.16666667,10.33
51.20833333,10.33
51.25,10.33
51.29166667,10.33
51.33333333,10.64
51.375,11.11
51.41666667,15.17
51.45833333,14.22
51.5,14.69
51.54166667,12.66
51.58333333,12.51
51.625,12.35
51.66666667,12.51
51.70833333,12.51
51.75,12.19
51.79166667,12.19
51.83333333,11.73
51.875,12.04
51.91666667,11.88
51.95833333,11.26
52,11.42
52.04166667,10.95
52.08333333,11.11
52.125,11.11
52.16666667,10.17
52.20833333,10.64
52.25,10.64
52.29166667,10.33
52.33333333,10.64
52.375,10.95
52.41666667,12.04
52.45833333,12.04
52.5,11.57
52.54166667,12.04
52.58333333,12.04
52.625,12.51
52.66666667,12.19
52.70833333,10.95
52.75,10.95
52.79166667,10.48
52.83333333,10.17
52.875,10.01
52.91666667,10.01
52.95833333,10.17
53,10.01
53.04166667,10.17
53.08333333,10.01
53.125,9.39
53.16666667,9.39
53.20833333,9.39
53.25,9.39
53.29166667,9.54
53.33333333,9.23
53.375,9.39
53.41666667,10.79
53.45833333,11.88
53.5,12.51
53.54166667,13.44
53.58333333,14.06
53.625,14.37
53.66666667,14.22
53.70833333,13.44
53.75,12.82
53.79166667,12.35
53.83333333,12.04
53.875,11.73
53.91666667,11.57
53.95833333,11.57
54,11.42
54.04166667,11.26
54.08333333,11.11
54.125,11.11
54.16666667,10.95
54.20833333,10.79
54.25,10.79
54.29166667,10.64
54.33333333,10.64
54.375,10.33
54.41666667,12.82
54.45833333,13.91
54.5,14.37
54.54166667,15.64
54.58333333,14.69
54.625,14.69
54.66666667,14.22
54.70833333,13.91
54.75,13.44
54.79166667,13.13
54.83333333,12.82
54.875,12.35
54.91666667,12.19
54.95833333,12.19
55,12.19
55.04166667,12.04
55.08333333,12.04
55.125,11.73
55.16666667,11.57
55.20833333,11.42
55.25,11.26
55.29166667,10.95
55.33333333,11.11
55.375,11.26
55.41666667,11.57
55.45833333,12.51
55.5,18.04
55.54166667,17.56
55.58333333,18.69
55.625,17.07
55.66666667,14.69
55.70833333,13.75
55.75,12.66
55.79166667,12.04
55.83333333,11.26
55.875,10.64
55.91666667,10.17
55.95833333,10.33
56,10.33
56.04166667,10.64
56.08333333,10.95
56.125,10.17
56.16666667,9.54
56.20833333,8.77
56.25,8.61
56.29166667,8.77
56.33333333,8.92
56.375,12.19
56.41666667,17.56
56.45833333,20.33
56.5,17.72
56.54166667,17.56
56.58333333,16.44
56.625,15.49
56.66666667,15.33
56.70833333,14.06
56.75,12.35
56.79166667,11.26
56.83333333,10.17
56.875,9.7
56.91666667,9.08
56.95833333,8.46
57,8.15
57.04166667,7.99
57.08333333,7.99
57.125,7.99
57.16666667,7.84
57.20833333,7.53
57.25,7.37
57.29166667,7.22
57.33333333,8.15
57.375,9.23
57.41666667,12.97
57.45833333,20.16
57.5,24.72
57.54166667,24.2
57.58333333,23.68
57.625,23.16
57.66666667,18.53
57.70833333,16.12
57.75,13.75
57.79166667,12.82
57.83333333,12.04
57.875,11.26
57.91666667,10.64
57.95833333,9.86
58,9.7
58.04166667,9.39
58.08333333,9.39
58.125,9.23
58.16666667,9.23
58.20833333,9.23
58.25,8.92
58.29166667,8.92
58.33333333,9.86
58.375,12.04
58.41666667,13.91
58.45833333,15.49
58.5,18.86
58.54166667,20.49
58.58333333,18.86
58.625,20.16
58.66666667,17.56
58.70833333,16.44
58.75,15.49
58.79166667,14.69
58.83333333,12.82
58.875,12.82
58.91666667,10.64
58.95833333,10.01
59,9.7
59.04166667,9.23
59.08333333,8.77
59.125,8.46
59.16666667,8.31
59.20833333,7.84
59.25,7.37
59.29166667,7.37
59.33333333,7.53
59.375,12.82
59.41666667,16.12
59.45833333,20.66
59.5,24.72
59.54166667,24.08666667
59.58333333,23.45333333
59.625,22.82
59.66666667,17.88
59.70833333,15.96
59.75,14.06
59.79166667,12.82
59.83333333,11.42
59.875,10.48
59.91666667,10.17
59.95833333,10.01
60,9.54
60.04166667,9.54
60.08333333,9.08
60.125,8.61
60.16666667,8.77
60.20833333,8.61
60.25,8.46
60.29166667,8.61
60.33333333,9.86
60.375,13.28
60.41666667,15.49
60.45833333,19.51
60.5,20.66
60.54166667,20.33
60.58333333,22.48
60.625,19.18
60.66666667,17.56
60.70833333,16.28
60.75,14.37
60.79166667,13.13
60.83333333,12.35
60.875,11.88
60.91666667,12.04
60.95833333,11.88
61,11.88
61.04166667,11.42
61.08333333,11.57
61.125,10.95
61.16666667,11.11
61.20833333,11.26
61.25,10.79
61.29166667,10.79
61.33333333,11.11
61.375,13.13
61.41666667,13.75
61.45833333,16.12
61.5,15.96
61.54166667,19.02
61.58333333,22.14
61.625,16.76
61.66666667,16.12
61.70833333,15.01
61.75,13.91
61.79166667,12.19
61.83333333,11.73
61.875,10.95
61.91666667,10.17
61.95833333,9.7
62,9.39
62.04166667,8.92
62.08333333,8.46
62.125,8.15
62.16666667,8.31
62.20833333,8.15
62.25,7.68
62.29166667,7.99
62.33333333,8.77
62.375,11.57
62.41666667,15.33
62.45833333,19.02
62.5,22.48
62.54166667,20.66
62.58333333,24.19
62.625,10.48
62.66666667,10.33
