$Br1 inflow Tw year 2005 YC 03/22/2023,
",,,",
Jday,Tw
167.9583333,14.74663038
168,14.4615325
168.0416667,14.4615325
168.0833333,14.4615325
168.125,14.4615325
168.1666667,14.40575578
168.2083333,14.15940861
168.25,14.34997906
168.2916667,14.31279458
168.3333333,14.25701786
168.375,14.20124115
168.4166667,14.14546443
168.4583333,14.08968771
168.5,14.08968771
168.5416667,14.08968771
168.5833333,14.05250323
168.625,14.05250323
168.6666667,14.05250323
168.7083333,13.99672651
168.75,14.15940861
168.7916667,13.94094979
168.8333333,13.94094979
168.875,13.94094979
168.9166667,13.88517308
168.9583333,13.82939636
169,12.90875885
169.0416667,12.90875885
169.0833333,12.86530725
169.125,12.86530725
169.1666667,12.80012986
169.2083333,12.70960571
169.25,12.80012986
169.2916667,12.73495247
169.3333333,12.73495247
169.375,12.73495247
169.4166667,12.66977508
169.4583333,12.66977508
169.5,12.66977508
169.5416667,12.66977508
169.5833333,12.66977508
169.625,12.60459769
169.6666667,12.60459769
169.7083333,12.60459769
169.75,12.70960571
169.7916667,12.60459769
169.8333333,12.56114609
169.875,12.60459769
169.9166667,12.66977508
169.9583333,12.66977508
170,12.36925347
170.0416667,12.36925347
170.0833333,12.43612255
170.125,12.43612255
170.1666667,12.50299162
170.2083333,12.50299162
170.25,12.50299162
170.2916667,12.50299162
170.3333333,12.50299162
170.375,12.547571
170.4166667,12.547571
170.4583333,12.48906056
170.5,12.547571
170.5416667,12.547571
170.5833333,12.547571
170.625,12.50299162
170.6666667,12.50299162
170.7083333,12.43612255
170.75,12.43612255
170.7916667,12.43612255
170.8333333,12.43612255
170.875,12.50299162
170.9166667,12.48906056
170.9583333,12.547571
171,12.57328943
171.0416667,12.64118373
171.0833333,12.70907803
171.125,12.77697232
171.1666667,12.77697232
171.2083333,12.82223519
171.25,12.82223519
171.2916667,12.89012949
171.3333333,12.89012949
171.375,12.95802379
171.4166667,13.02591808
171.4583333,12.86231168
171.5,13.02591808
171.5416667,13.02591808
171.5833333,12.95802379
171.625,12.89012949
171.6666667,12.82223519
171.7083333,12.82223519
171.75,12.82223519
171.7916667,12.82223519
171.8333333,12.82223519
171.875,12.82223519
171.9166667,12.86231168
171.9583333,13.02591808
172,13.39257349
172.0416667,13.43191216
172.0833333,13.43191216
172.125,13.43191216
172.1666667,13.49092017
