$NML Br1 inflow Tw year 2005 gap filled with dly averaged filled Tw YC 02/02/2023,
",,,",
Jday,Tw (deg C)
36.792,5.225582395
36.833,5.332850627
36.875,5.332850627
36.917,5.332850627
36.958,5.432924793
37.000,5.453020083
37.042,5.436368499
37.083,5.436368499
37.125,5.420757639
37.167,5.420757639
37.208,5.404106056
37.250,5.292130188
37.292,5.292130188
37.333,5.276519329
37.375,5.259867745
37.417,5.154890369
37.458,5.138238786
37.500,5.154890369
37.542,5.171541953
37.583,5.187152813
37.625,5.203804396
37.667,5.219415256
37.708,5.324392632
37.750,5.219415256
37.792,5.341044215
37.833,5.356655075
37.875,5.356655075
37.917,5.453020083
37.958,5.453020083
38.000,5.557424775
38.042,5.557424775
38.083,5.557424775
38.125,5.544294646
38.167,5.544294646
38.208,5.544294646
38.250,5.451445877
38.292,5.451445877
38.333,5.439136381
38.375,5.439136381
38.417,5.451445877
38.458,5.451445877
38.500,5.451445877
38.542,5.464576006
38.583,5.464576006
38.625,5.476885502
38.667,5.476885502
38.708,5.476885502
38.750,5.476885502
38.792,5.476885502
38.833,5.476885502
38.875,5.569734271
38.917,5.557424775
38.958,5.544294646
39.000,5.618834628
39.042,5.60718091
39.083,5.60718091
39.125,5.60718091
39.167,5.505782464
39.208,5.494128746
39.250,5.494128746
39.292,5.398290788
39.333,5.385860155
39.375,5.385860155
39.417,5.385860155
39.458,5.374206437
39.500,5.296892342
39.542,5.309322974
39.583,5.321753607
39.625,5.333407325
39.667,5.434805771
39.708,5.434805771
39.750,5.434805771
39.792,5.446459489
39.833,5.542297447
39.875,5.542297447
39.917,5.631265261
39.958,5.631265261
40.000,5.649607197
40.042,5.725317951
40.083,5.725317951
40.125,5.712338964
40.167,5.622783958
40.208,5.622783958
40.250,5.608939706
40.292,5.59596072
40.333,5.50043538
40.375,5.50043538
40.417,5.486591128
40.458,5.397036121
40.500,5.410880374
40.542,5.42385936
40.583,5.42385936
40.625,5.437703612
40.667,5.437703612
40.708,5.450682599
40.750,5.540237605
40.792,5.554081857
40.833,5.662586183
40.875,5.662586183
40.917,5.662586183
40.958,5.662586183
41.000,5.632599974
41.042,5.619469845
41.083,5.619469845
41.125,5.607160349
41.167,5.499247102
41.208,5.486937606
