$Tulloch branch 1 inflow year 2006 YC 04/11/2023,
",,,",
Jday,Inflow
138.4166667,115.9280759
138.4583333,115.8148096
138.5,115.8148096
138.5416667,125.6406626
138.5833333,220.6994195
138.625,225.2017556
138.6666667,225.9663033
138.7083333,225.2583888
138.75,224.3805748
138.7916667,225.2017556
138.8333333,225.2017556
138.875,225.3999717
138.9166667,225.2017556
138.9583333,217.9243947
139,54.84921421
139.0416667,44.00396432
139.0833333,44.59861249
139.125,44.57029591
139.1666667,44.51366275
139.2083333,44.1738638
139.25,43.77743169
139.2916667,47.57185332
139.3333333,112.5584029
139.375,115.6165935
139.4166667,115.2767946
139.4583333,131.8703101
139.5,220.869319
139.5416667,224.6920572
139.5833333,225.4849214
139.625,224.1823588
139.6666667,225.1168059
139.7083333,224.2673085
139.75,224.8902733
139.7916667,224.3522582
139.8333333,225.513238
139.875,224.5787909
139.9166667,224.6071075
139.9583333,220.9542687
140,125.2725471
140.0416667,48.64788334
140.0833333,45.50474303
140.125,45.39147671
140.1666667,45.44810987
140.2083333,45.70295908
140.25,49.32748124
140.2916667,116.9474727
140.3333333,128.9537024
140.375,221.2374345
140.4166667,224.9469064
140.4583333,224.8902733
140.5,224.7770069
140.5416667,224.7770069
140.5833333,224.6071075
140.625,225.1451225
140.6666667,224.8619567
140.7083333,224.8619567
140.75,224.9185898
140.7916667,224.6920572
140.8333333,224.975223
140.875,220.6994195
140.9166667,123.6301855
140.9583333,113.6061164
141,48.16650149
141.0416667,44.96672802
141.0833333,44.91009486
141.125,44.91009486
141.1666667,44.91009486
141.2083333,45.75959224
141.25,49.07263203
141.2916667,113.5777998
141.3333333,116.2961914
141.375,116.6076738
141.4166667,116.4377743
141.4583333,116.1546085
141.5,124.7062155
141.5416667,220.8976356
141.5833333,224.2956251
141.625,224.2106754
141.6666667,224.4655246
141.7083333,224.5787909
141.75,224.3239417
141.7916667,224.2673085
141.8333333,224.6071075
141.875,224.5221577
141.9166667,224.0407759
141.9583333,219.2269574
142,118.8730001
142.0416667,47.65680306
142.0833333,44.59861249
142.125,44.48534617
142.1666667,44.34376327
142.2083333,44.20218038
142.25,48.59125018
142.2916667,48.05323517
142.3333333,121.1383265
142.375,221.0958516
142.4166667,224.3239417
142.4583333,224.3239417
142.5,223.3045448
142.5416667,223.1063288
142.5833333,223.2479117
142.625,223.5877106
142.6666667,223.6160272
142.7083333,223.6160272
142.75,223.3045448
142.7916667,223.9275096
142.8333333,224.6920572
142.875,224.5221577
142.9166667,224.1257256
142.9583333,216.3386663
143,59.29491717
143.0416667,45.75959224
143.0833333,45.47642645
143.125,45.05167776
143.1666667,45.1366275
143.2083333,45.05167776
143.25,45.22157723
143.2916667,45.02336118
143.3333333,48.61956676
143.375,117.0890556
143.4166667,128.3590542
143.4583333,219.7366558
143.5,223.5877106
143.5416667,223.4461277
143.5833333,222.6249469
143.625,223.7859267
143.6666667,223.8142432
143.7083333,223.5027609
143.75,223.2762282
143.7916667,223.7859267
143.8333333,224.1257256
143.875,223.9841427
143.9166667,224.2389919
143.9583333,216.5085658
144,53.37675209
144.0416667,44.48534617
144.0833333,44.79682854
144.125,44.40039643
144.1666667,44.11723064
144.2083333,44.1738638
144.25,44.45702959
144.2916667,44.42871301
144.3333333,46.26929067
144.375,85.96913493
144.4166667,97.43734957
144.4583333,217.1315305
144.5,220.6427864
144.5416667,220.5861532
144.5833333,220.6994195
144.625,221.3790174
144.6666667,221.4639672
144.7083333,221.7471329
144.75,221.3790174
144.7916667,221.0392185
144.8333333,213.5636415
144.875,60.79569588
144.9166667,45.9578083
144.9583333,45.02336118
145,48.70451649
145.0416667,45.10831092
145.0833333,45.33484355
145.125,45.16494407
145.1666667,44.9950446
145.2083333,45.10831092
145.25,44.93841144
145.2916667,44.93841144
145.3333333,46.97720515
145.375,85.11963755
145.4166667,96.61616877
145.4583333,213.1672094
145.5,217.2164802
145.5416667,217.9243947
145.5833333,217.5845958
145.625,217.4430129
145.6666667,217.0465808
145.7083333,216.8483647
145.75,216.4519326
145.7916667,217.9810279
145.8333333,212.2327623
145.875,94.91717401
145.9166667,45.84454198
145.9583333,43.94733116
146,42.53150219
146.0416667,6.682712728
146.0833333,1.076030016
146.125,1.076030016
146.1666667,1.076030016
146.2083333,1.076030016
146.25,1.076030016
146.2916667,1.076030016
146.3333333,19.05705791
146.375,192.6093728
146.4166667,198.7540705
146.4583333,198.1594223
146.5,198.3576384
146.5416667,198.5275379
146.5833333,198.9522866
146.625,199.1505026
146.6666667,199.7734674
146.7083333,199.8867337
146.75,199.4336684
146.7916667,199.9433668
146.8333333,199.6035679
146.875,199.122186
146.9166667,199.122186
146.9583333,199.3204021
147,194.6198499
147.0416667,12.43097834
147.0833333,0.934447119
147.125,0.934447119
147.1666667,0.934447119
147.2083333,0.934447119
147.25,0.934447119
147.2916667,0.934447119
147.3333333,18.97210817
147.375,202.4352258
147.4166667,210.6187173
147.4583333,209.627637
147.5,209.4860541
147.5416667,212.3743452
147.5833333,211.0717825
147.625,211.4398981
147.6666667,210.4205012
147.7083333,211.7513804
147.75,212.3743452
147.7916667,212.8274104
147.8333333,212.2610789
147.875,211.9495965
147.9166667,211.2133654
147.9583333,211.6947473
148,202.9166077
148.0416667,12.54424466
148.0833333,1.30256265
148.125,1.274246071
148.1666667,1.274246071
148.2083333,1.30256265
148.25,1.274246071
148.2916667,1.274246071
148.3333333,18.15092737
148.375,188.8432677
148.4166667,195.2144981
148.4583333,195.5259805
148.5,195.2428147
148.5416667,194.4499504
148.5833333,194.280051
148.625,195.3277644
148.6666667,194.3083675
148.7083333,195.1861815
148.75,195.1012318
148.7916667,195.1861815
148.8333333,196.1489452
148.875,196.4037944
148.9166667,195.3277644
148.9583333,194.9030157
149,188.4468356
149.0416667,13.87512389
149.0833333,3.001557412
149.125,3.001557412
149.1666667,3.001557412
149.2083333,3.029873991
149.25,3.001557412
149.2916667,3.001557412
149.3333333,19.17032422
149.375,192.6093728
149.4166667,199.7734674
149.4583333,199.2354524
149.5,199.5752513
149.5416667,198.584171
149.5833333,199.2071358
149.625,198.9522866
149.6666667,199.9716834
149.7083333,199.6035679
149.75,199.0089197
149.7916667,198.92397
149.8333333,199.4336684
149.875,200.1132663
149.9166667,199.0372363
149.9583333,199.3487187
150,193.0058049
150.0416667,12.00622965
150.0833333,1.415828968
150.125,1.415828968
150.1666667,1.415828968
150.2083333,1.415828968
150.25,1.415828968
150.2916667,1.415828968
150.3333333,19.82160555
150.375,170.6073906
150.4166667,176.0158573
150.4583333,175.9309075
150.5,175.4212091
150.5416667,175.4212091
150.5833333,175.8176412
150.625,176.8087215
150.6666667,176.1574402
150.7083333,176.6671386
150.75,176.4972391
150.7916667,175.7043749
150.8333333,176.2423899
150.875,176.638822
150.9166667,176.0724904
150.9583333,176.6671386
151,169.842843
151.0416667,12.4876115
151.0833333,1.245929492
151.125,1.245929492
151.1666667,1.245929492
151.2083333,1.245929492
151.25,1.245929492
151.2916667,1.245929492
151.3333333,16.48024919
151.375,165.6519892
151.4166667,170.8056067
151.4583333,170.4658077
151.5,170.9755062
151.5416667,171.2303554
151.5833333,170.579074
151.625,170.4658077
151.6666667,170.2109585
151.7083333,170.6923404
151.75,170.9471896
151.7916667,170.041059
151.8333333,170.6640238
151.875,170.7206569
151.9166667,170.3242248
151.9583333,164.6042758
152,19.70833923
152.0416667,43.66416537
152.0833333,45.16494407
152.125,45.50474303
152.1666667,45.39147671
152.2083333,45.6746425
152.25,45.05167776
152.2916667,45.07999434
152.3333333,55.81197791
152.375,172.3630185
152.4166667,176.978621
152.4583333,176.6105055
152.5,177.2051536
152.5416667,176.7237718
152.5833333,176.6671386
152.625,176.7804049
152.6666667,176.7804049
152.7083333,176.6671386
152.75,176.4122894
152.7916667,176.2990231
152.8333333,176.7804049
152.875,176.8087215
152.9166667,175.7893246
152.9583333,171.2020388
153,49.78054651
153.0416667,6.937561943
153.0833333,1.444145547
153.125,1.444145547
153.1666667,1.444145547
153.2083333,1.444145547
153.25,14.83788758
153.2916667,109.6701119
153.3333333,114.710463
153.375,114.4556138
153.4166667,113.8609656
153.4583333,114.0591817
153.5,113.9459153
153.5416667,113.6061164
153.5833333,113.6910661
153.625,113.6910661
153.6666667,113.6627495
153.7083333,120.6852612
153.75,173.7222144
153.7916667,176.3839728
153.8333333,177.0352541
153.875,176.2423899
153.9166667,176.2990231
153.9583333,173.2408325
154,97.63556562
154.0416667,7.362310633
154.0833333,1.642361603
154.125,1.642361603
154.1666667,1.642361603
154.2083333,1.642361603
154.25,1.642361603
154.2916667,1.642361603
154.3333333,10.36386804
154.375,94.80390769
154.4166667,98.42842985
154.4583333,98.40011327
154.5,98.23021379
154.5416667,98.34348011
154.5833333,98.54169616
154.625,98.40011327
154.6666667,106.3287555
154.7083333,179.130681
154.75,181.8773892
154.7916667,182.3304545
154.8333333,182.3304545
154.875,181.282741
154.9166667,182.5286705
154.9583333,181.7924395
155,175.1663599
155.0416667,14.58303837
155.0833333,1.415828968
155.125,1.415828968
155.1666667,1.415828968
155.2083333,1.415828968
155.25,1.415828968
155.2916667,1.415828968
155.3333333,9.316154609
155.375,84.32677333
155.4166667,87.3849639
155.4583333,86.5637831
155.5,86.96021521
155.5416667,86.90358205
155.5833333,87.49823021
155.625,87.41328048
155.6666667,94.94549058
155.7083333,167.690783
155.75,169.9844259
155.7916667,169.842843
155.8333333,169.9277927
155.875,170.6073906
155.9166667,170.0127425
155.9583333,167.1810845
156,88.60257681
156.0416667,8.976355656
156.0833333,1.245929492
156.125,1.245929492
156.1666667,1.245929492
156.2083333,9.769219878
156.25,94.43579216
156.2916667,97.89041484
156.3333333,97.63556562
156.375,97.49398273
156.4166667,97.947048
156.4583333,97.77714852
156.5,97.8054651
156.5416667,97.6638822
156.5833333,97.89041484
156.625,97.55061589
156.6666667,106.1871726
156.7083333,195.4410307
156.75,198.3576384
156.7916667,197.8196234
156.8333333,197.4231913
156.875,199.5752513
156.9166667,198.385955
156.9583333,198.6124876
157,191.986408
157.0416667,13.45037519
157.0833333,2.095426872
157.125,2.095426872
157.1666667,2.095426872
157.2083333,2.095426872
157.25,2.095426872
157.2916667,2.463542404
157.3333333,2.520175563
157.375,2.237009769
157.4166667,1.387512389
157.4583333,1.387512389
157.5,17.38637973
157.5416667,175.5344754
157.5833333,181.7641229
157.625,180.6031431
157.6666667,180.8863089
157.7083333,181.2261079
157.75,180.6880929
157.7916667,181.9057058
157.8333333,181.3393742
157.875,182.1039218
157.9166667,175.024777
157.9583333,11.26999858
158,0.764547643
158.0416667,0.764547643
158.0833333,0.764547643
158.125,0.764547643
158.1666667,0.764547643
158.2083333,0.764547643
158.25,0.764547643
158.2916667,13.28047572
158.3333333,91.88730001
158.375,96.27636981
158.4166667,95.48350559
158.4583333,95.2003398
158.5,94.88885743
158.5416667,92.96333003
158.5833333,89.33880787
158.625,97.38071641
158.6666667,181.3960074
158.7083333,184.5108311
158.75,184.3692482
158.7916667,184.4825145
158.8333333,184.3692482
158.875,184.0577658
158.9166667,183.7746
158.9583333,177.0352541
159,17.78281184
159.0416667,9.71258672
159.0833333,9.797536458
159.125,9.825853037
159.1666667,9.825853037
159.2083333,9.740903299
159.25,8.38170749
159.2916667,8.494973807
159.3333333,1.359195809
159.375,1.359195809
159.4166667,9.854169616
159.4583333,18.26419369
159.5,102.1095852
159.5416667,102.0812686
159.5833333,100.438907
159.625,110.26476
159.6666667,198.3576384
159.7083333,201.5857284
159.75,198.2160555
159.7916667,201.1609798
159.8333333,201.5857284
159.875,198.3293218
159.9166667,117.1456888
159.9583333,6.484496673
160,0.396432111
160.0416667,0.396432111
160.0833333,0.396432111
160.125,0.396432111
160.1666667,0.396432111
160.2083333,0.396432111
160.25,0.396432111
160.2916667,10.33555147
160.3333333,21.46396715
160.375,21.52060031
160.4166667,31.23318703
160.4583333,167.350984
160.5,177.0352541
160.5416667,177.0918873
160.5833333,177.6015857
160.625,177.0069376
160.6666667,174.6283449
160.7083333,176.4122894
160.75,174.5433952
160.7916667,109.0471471
160.8333333,104.6014441
160.875,104.6297607
160.9166667,104.9129265
160.9583333,100.3822738
161,6.314597197
161.0416667,0.396432111
161.0833333,0.396432111
161.125,0.396432111
161.1666667,0.396432111
161.2083333,0.396432111
161.25,0.396432111
161.2916667,0.396432111
161.3333333,0.396432111
161.375,7.220727736
161.4166667,111.9354382
161.4583333,116.2678748
161.5,116.0979754
161.5416667,115.8714427
161.5833333,115.786493
161.625,115.9563925
161.6666667,116.1262919
161.7083333,122.4692057
161.75,175.9592241
161.7916667,175.902591
161.8333333,176.0441739
161.875,174.0336967
161.9166667,114.1441314
161.9583333,13.64859125
162,9.599320402
162.0416667,9.542687243
162.0833333,9.571003823
162.125,9.571003823
162.1666667,9.571003823
162.2083333,9.571003823
162.25,9.571003823
162.2916667,9.571003823
162.3333333,9.571003823
162.375,9.571003823
162.4166667,14.46977205
162.4583333,110.2930766
162.5,114.1158148
162.5416667,113.9459153
162.5833333,114.4272972
162.625,114.2290811
162.6666667,122.7240549
162.7083333,207.9003256
162.75,210.2506017
162.7916667,210.0523857
162.8333333,210.8452499
162.875,202.8599745
162.9166667,18.88715843
162.9583333,8.749823021
163,8.749823021
163.0416667,8.749823021
163.0833333,8.749823021
163.125,8.749823021
163.1666667,8.749823021
163.2083333,8.749823021
163.25,8.749823021
163.2916667,9.68427014
